year,receiving_country,confucius_inst_cum,confucius_inst_new,confucius_classrooms_cum,confucius_classrooms_new,cultural_events,friendship_year,sister_cities_cum,sister_cities_new,international_students,scholarships,govt_political_visits,govt_party_visits,govt_other govt_visits,mil_senior level meetings,mil_joint mil ex,mil_naval port calls,interviews_foreign_media,heads_of_state_oped,journ_visits_in,pressbriefings,humanitarian_assistance,budget_support,debt_relief,improvement_infra,new_infra,provision_goods,total_fd
2000,Afghanistan,,,,,0,0,0,0,,,0,0,0,,,,,,,,1112126.73,0,0,0,0,0,1112126.73
2001,Afghanistan,,,,,0,0,0,0,,,1,0,0,,,,,,,,8162259.336,2179341.235,0,0,0,0,10341600.57
2002,Afghanistan,,,,,0,0,0,0,16,,4,0,0,,,,0,,,0,75003972.25,2166209.719,0,7798354.988,0,3402304.089,88370841.05
2003,Afghanistan,,,,,0,0,0,0,22,,3,0,0,,,,0,,,0,0,0,0,0,510140.0005,5278059.361,5788199.362
2004,Afghanistan,0,0,0,0,0,0,0,0,21,,7,0,0,,,,0,,1,0,0,0,34694368.67,29608391.06,0,8685128.047,72987887.78
2005,Afghanistan,0,0,0,0,0,0,0,0,24,,6,0,0,1,,,0,,0,0,0,0,0,0,0,1880819.877,1880819.877
2006,Afghanistan,0,0,0,0,0,0,0,0,49,,6,0,0,2,,,0,,0,0,0,0,0,17668197.8,0,1760953.57,19429151.37
2007,Afghanistan,0,0,0,0,0,0,0,0,78,30,6,0,0,2,,,0,,0,0,18734575.01,0,0,0,0,3117002.132,21851577.15
2008,Afghanistan,1,1,0,0,0,0,0,0,129,30,7,0,0,,,,0,,1,0,0,0,0,0,15712295.4,22521644.93,38233940.33
2009,Afghanistan,1,0,0,0,0,0,0,0,160,30,1,0,1,,,,0,,1,0,5707386.488,0,0,0,0,2323126.262,8030512.75
2010,Afghanistan,1,0,0,0,1,1,0,0,225,30,8,0,0,2,,,0,,1,0,301095.1297,0,0,0,0,1598614.007,1899709.137
2011,Afghanistan,1,0,0,0,1,0,0,0,291,100,4,0,0,,,,0,,0,0,0,0,0,0,12846170.07,4251217.982,17097388.05
2012,Afghanistan,1,0,0,0,0,0,0,0,335,100,6,3,0,2,,,0,,1,0,0,0,0,0,24096047.63,690753.3653,24786801
2013,Afghanistan,1,0,0,0,0,0,0,0,385,100,5,0,0,,,,0,0,0,0,0,0,0,0,31428701.31,0,31428701.31
2014,Afghanistan,1,0,0,0,0,0,0,0,457,100,7,0,0,,,,0,0,0,0,0,0,0,0,77926232.88,1320260.071,79246492.95
2015,Afghanistan,1,0,0,0,1,1,0,0,496,100,6,0,0,1,,,0,0,0,0,2526735.834,0,0,0,77853569.48,8512033.534,88892338.85
